R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
144372.41,118671.85,383199.62,New York,182901.99
131876.9,99814.71,362861.36,New York,156991.12
120542.52,148718.95,311613.29,New York,152211.77
114523.61,122616.84,261776.23,New York,129917.04
94657.16,145077.58,282574.31,New York,125370.37
86419.7,153514.11,0,New York,122776.86
78389.47,153773.43,299737.29,New York,111313.02
77044.01,99281.34,140574.81,New York,108552.04
72107.6,127864.55,353183.81,New York,105008.31
65605.48,153032.06,107138.38,New York,101004.64
61136.38,152701.92,88218.23,New York,97483.56
46014.02,85047.44,205517.64,New York,96479.51
20229.59,65947.93,185265.1,New York,81229.06
15505.73,127382.3,35534.17,New York,69758.98
1000.23,124153.04,1903.93,New York,64926.08
542.05,51743.15,0,New York,35673.41
